StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q7,Q8,Q8a,Q9,Q9a,Q9b,Q10,Q11,Q11a,Q11b,Q12,Q13,Q14,Q14a,Q15,Q15a,Q16,Q16a,Q16b,Q17,Q17a,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q25a,Q26,Q26a,Q27,Q27a,Q28,Q28a,Q29,Q29a,Q29b,Q29c,Q29d
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,What is your gender?,"50 States, D.C. and Puerto Rico",What ethnicity do you consider yourself?,Choose one or more races that you consider yourself to be: - Selected Choice,Choose one or more races that you consider yourself to be: - Other - Text,"What is your role in the healthcare field? (e.g. psychologist, physician, nurse)",Are you a frontline worker providing care for acutely ill patients that may be infected with COVID-1,Are you currently conducting your job mostly from home now?,"Which week in March 2020 did you start working
from home?",Are you conducting clinical video visits with your patients from your home?,"Please rate YOUR satisfaction with conducting
video visits",Please rate your estimation of your PATIENT's satisfaction with video visits,"Does
your work require you to follow a fixed work schedule while working from
home?",Are children home from school in the house?,How many children are in the home?,How old are the children in the home?,"Approximately how many hours did you sleep on an
average work night in January 2020?","Approximately how many hours did you sleep on an
average work night in the last week?",Has the number of your work hours per week changed?,Please tell us how your work hours per week have changed,Have you varied your work schedule?,Please tell us how you have varied your work schedule.,Have your sleep patterns changed?,Please tell us how your bedtime has changed,Please tell us how your waketime has changed,Has the number of naps you are taking changed?,Please tell us how the number of the naps have changed,"Has the amount of alcohol you are consuming
changed?",Please tell us how the amount of alcohol you are consuming has changed,"In January 2020, approximately how often did you have a drink containing alcohol?","In the last month, approximately how often did you have a drink containing alcohol?","In January 2020, approximately how often did you use marijuana/cannabis (recreational or medical)?","In the last month, approximately how often did you use marijuana/cannabis (recreational or medical)?","Has
the amount of news you are consuming increased since the end of Feb, 2020?","How many hours of COVID-19 related news or
social media are you consuming on average per day?","Have
you had more “screen time” (e.g. use of smartphone, tablet, etc.) around
bedtime?",Please tell us how much more screen time you estimate you have been exposed to before bed,Have you changed your movement/exercise?,Please tell us how your movement/exercise habits have changed,Has the quality of your diet changed?,Please tell us how your diet has changed?,Has the amount of food you have been eating per day changed?,Please tell us how the amount of food you have been eating has changed,Has your mood changed?,Please tell us how your mood has changed.  My mood has been:,"Please
tell us how your mood has worsened",Please tell us how your mood has worsened,Please tell us how your mood has worsened
3/28/2020 13:24,3/28/2020 13:26,Survey Preview,,100,145,True,3/28/2020 13:26,R_D2zZmZzPFOTHGhj,,,,,42.2709045410156,-83.7267990112305,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,,Yes,,Yes,,Yes,Slightly worse,,,
3/30/2020 8:29,3/30/2020 8:32,Survey Preview,,100,147,True,3/30/2020 8:32,R_ZesvyNm3EjoBl2F,,,,,42.2709045410156,-83.7267990112305,preview,EN,,,,,,,,,No,,2,,,No,1,,,,,Yes,I am working fewer hours,,,No,,,No,,No,,,,,,No,0-.5 hour,No,,No,,No,,No,,No,,,,
3/30/2020 8:39,3/30/2020 8:42,Survey Preview,,100,160,True,3/30/2020 8:42,R_2zT0jHR2F9OOQtk,,,,,42.2709045410156,-83.7267990112305,preview,EN,,,,,,,,,Yes,,1,,,No,1,,,,,Yes,I am working fewer hours,,,Yes,,,,,Yes,I am drinking less alcohol,,,,,No,0-.5 hour,Yes,,Yes,I am exercising/moving less,Yes,I am eating more healthy foods,Yes,I am eating more food each day,Yes,Moderately worse,,I am moderately more depressed,
3/30/2020 17:26,3/30/2020 17:28,Survey Preview,,100,82,True,3/30/2020 17:28,R_QivmHrJvTYkfNFT,,,,,42.2709045410156,-83.7267990112305,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2020 17:32,3/30/2020 17:36,IP Address,68.49.181.155,100,266,True,3/30/2020 17:36,R_eevY5t8S1oGAEtb,,,,,42.2709045410156,-83.7267990112305,anonymous,EN,44,Female,,,,,Psychologist,,Yes,Week 4 March 22-28,1,Somewhat satisfied,Somewhat satisfied,No,2,,,8,9,Yes,I am working fewer hours,,,Yes,I am going to bed later,I am waking up later,Yes,I am napping more,Yes,I am drinking more alcohol,,,,,Yes,0-.5 hour,Yes,0-0.5 hour,No,,Yes,I am eating more healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,I am slightly more depressed,,
3/31/2020 7:54,3/31/2020 8:01,IP Address,68.48.229.110,100,415,True,3/31/2020 8:01,R_3kLp9TDCYzvUNAB,,,,,42.2709045410156,-83.7267990112305,anonymous,EN,41,Female,,,,,physician,,Yes,Week 4 March 22-28,1,Somewhat satisfied,Somewhat satisfied,No,1,,,7,8,Yes,I am working fewer hours,,,Yes,I am going to bed later,I am waking up later,No,,Yes,I am drinking more alcohol,,,,,Yes,1-2 hours,Yes,0.51-1 hour,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,No,,Yes,Much worse,,,All of the above
3/31/2020 12:53,3/31/2020 12:57,IP Address,24.127.102.244,100,221,True,3/31/2020 12:57,R_sc9TandHrqnH3q1,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,47,Female,,,,,researcher,,Yes,Week 2 March 8-14,1,Somewhat satisfied,Somewhat satisfied,Yes,1,,,8,8.5,No,,,,Yes,,I am waking up later,No,,No,,,,,,No,0-.5 hour,Yes,0-0.5 hour,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,Yes,I am eating more food each day,No,,,,
3/31/2020 13:49,3/31/2020 13:59,IP Address,68.36.133.106,100,626,True,3/31/2020 13:59,R_3g8cPq91JfjTy3W,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,35,Female,,,,,clinical social worker,,Yes,Week 4 March 22-28,1,Extremely satisfied,Somewhat satisfied,No,2,,,7,8,No,,,,No,,,No,,Yes,I am drinking less alcohol,,,,,Yes,0.51 – 1 hour,Yes,0.51-1 hour,Yes,I am exercising/moving more,Yes,I am eating more healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,I am slightly more anxious,,
3/31/2020 15:03,3/31/2020 15:05,IP Address,73.145.177.208,100,159,True,3/31/2020 15:05,R_33BhqXFbiJuQL5N,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,40,Female,,,,,Psychologist,,Yes,Week 4 March 22-28,1,Somewhat satisfied,Extremely satisfied,Yes,2,,,8,8,No,,,,No,,,No,,Yes,I am drinking more alcohol,,,,,Yes,0.51 – 1 hour,No,,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,No,,Yes,Slightly worse,I am slightly more anxious,,
